"STATION","NAME","DATE","TMAX"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-11","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-12","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-13","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-14","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-15","110"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-16","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-17","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-18","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-19","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-20","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-21","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-22","112"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-23","110"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-24","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-25","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-26","110"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-27","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-28","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-29","111"
"USC00026471","PHANTOM RANCH, AZ US","2007-06-30","111"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-01","111"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-02","114"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-03","114"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-04","116"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-05","116"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-06","114"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-07","110"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-08","111"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-09","112"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-10","110"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-11","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-12","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-13","112"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-14","113"
